[76, 17, 23, 4, 39, 50, 2, 69, 88, 79, 34, 83, 65, 31, 76, 43, 44, 63, 35, 43, 62, 63, 71, 25, 69, 41, 15, 41, 15, 57, 49, 18, 43, 33, 49, 35, 25, 19, 69, 39, 80, 53, 43, 15, 76, 0, 63, 88, 74, 72, 19, 18, 72, 16, 43, 5, 46, 14, 44, 47, 42, 81, 14, 8, 89, 76, 87, 43, 74, 43, 85, 71, 52, 23, 5, 58, 32, 50, 74, 59, 77, 15, 39, 82, 36, 43, 66, 43, 84]
[43, 71, 23, 15, 4, 71, 43, 19, 49, 5, 43, 13, 68, 67, 6, 38, 82, 60, 62, 30, 77, 33, 86, 29, 89, 4, 16, 17, 69, 54, 39, 76, 77, 84, 88, 28, 43, 83, 66, 5, 54, 85, 49, 57, 24, 40, 22, 21, 53, 2, 2, 48, 66, 31, 59, 49, 67, 41, 53, 10, 10, 18, 50, 84, 41, 39, 27, 78, 69, 16, 43, 43, 21, 4, 39, 66, 86, 43, 43, 1, 40, 63, 43, 80, 66, 46, 50, 41, 5]
[34, 16, 64, 11, 42, 80, 83, 88, 45, 76, 80, 85, 29, 66, 38, 82, 79, 10, 38, 11, 21, 89, 26, 49, 75, 21, 51, 64, 83, 6, 27, 22, 86, 80, 7, 20, 82, 74, 70, 39, 12, 42, 27, 46, 25, 14, 56, 79, 27, 82, 68, 13, 22, 46, 53, 72, 59, 27, 22, 16, 6, 43, 26, 80, 80, 2, 9, 44, 49, 0, 8, 51, 72, 43, 74, 80, 10, 80, 28, 58, 21, 82, 54, 80, 66, 25, 42, 74, 70]
[84, 60, 48, 62, 12, 0, 63, 62, 45, 23, 83, 79, 66, 46, 8, 70, 75, 60, 17, 54, 76, 48, 80, 39, 41, 79, 89, 81, 10, 63, 44, 53, 70, 79, 19, 1, 28, 21, 40, 79, 56, 71, 81, 64, 79, 13, 76, 50, 34, 36, 79, 62, 0, 67, 39, 73, 1, 29, 75, 79, 70, 46, 13, 79, 43, 56, 86, 6, 54, 23, 22, 85, 49, 81, 17, 78, 30, 87, 13, 86, 12, 54, 7, 59, 85, 37, 43, 78, 13]
[38, 38, 20, 12, 42, 70, 76, 25, 11, 69, 31, 75, 63, 15, 61, 13, 47, 5, 38, 39, 29, 16, 38, 29, 49, 24, 15, 77, 6, 29, 38, 25, 55, 7, 16, 3, 45, 82, 39, 28, 17, 3, 39, 62, 49, 4, 44, 68, 58, 27, 2, 68, 49, 30, 16, 70, 69, 2, 15, 50, 12, 43, 38, 59, 17, 4, 20, 76, 53, 60, 31, 57, 30, 5, 56, 59, 38, 88, 79, 74, 45, 70, 41, 87, 70, 61, 38, 8, 87]
[34, 59, 34, 61, 74, 56, 10, 76, 32, 21, 34, 41, 45, 34, 34, 19, 3, 27, 76, 33, 46, 67, 75, 38, 65, 71, 66, 54, 83, 0, 69, 18, 48, 19, 88, 31, 72, 68, 37, 24, 26, 84, 24, 37, 69, 72, 66, 19, 43, 0, 10, 62, 60, 44, 34, 84, 10, 55, 52, 34, 23, 15, 30, 10, 15, 0, 67, 9, 0, 34, 67, 24, 27, 77, 36, 31, 24, 2, 35, 18, 47, 0, 9, 56, 51, 44, 35, 23, 17]
[50, 15, 38, 59, 72, 72, 68, 21, 16, 80, 28, 15, 15, 63, 61, 19, 75, 37, 62, 16, 22, 73, 83, 4, 17, 80, 11, 22, 37, 22, 0, 74, 22, 89, 12, 25, 61, 78, 82, 85, 80, 21, 65, 5, 41, 57, 57, 82, 18, 26, 6, 48, 22, 4, 53, 19, 19, 14, 21, 55, 78, 6, 48, 36, 22, 24, 34, 24, 74, 48, 58, 58, 25, 38, 47, 22, 6, 33, 35, 43, 16, 34, 15, 83, 10, 48, 79, 22, 14]
[13, 12, 2, 33, 24, 50, 53, 67, 6, 79, 41, 34, 45, 66, 66, 54, 24, 43, 29, 39, 31, 88, 61, 48, 6, 68, 89, 19, 74, 7, 10, 26, 14, 87, 36, 16, 12, 21, 22, 21, 45, 48, 27, 19, 66, 47, 13, 43, 65, 52, 29, 78, 13, 63, 68, 0, 20, 74, 75, 38, 81, 66, 9, 38, 22, 70, 66, 86, 37, 29, 40, 5, 83, 29, 66, 49, 20, 46, 58, 34, 32, 66, 44, 66, 57, 33, 70, 42, 11]
[11, 21, 26, 70, 20, 80, 42, 79, 75, 38, 62, 52, 86, 4, 23, 17, 42, 52, 45, 80, 4, 86, 31, 13, 29, 15, 2, 8, 48, 59, 84, 69, 13, 75, 17, 33, 50, 48, 48, 20, 33, 65, 66, 30, 3, 11, 53, 26, 28, 28, 65, 12, 40, 82, 14, 23, 40, 65, 75, 79, 79, 38, 14, 19, 62, 15, 19, 65, 65, 65, 24, 12, 65, 75, 49, 18, 48, 35, 89, 0, 3, 21, 81, 13, 45, 11, 88, 83, 7]
[49, 70, 43, 58, 22, 19, 69, 58, 48, 88, 9, 70, 85, 63, 74, 33, 76, 74, 23, 76, 65, 85, 14, 46, 42, 56, 27, 57, 4, 30, 62, 35, 50, 19, 57, 42, 78, 31, 9, 20, 50, 76, 9, 3, 58, 35, 14, 5, 57, 33, 14, 54, 38, 32, 57, 9, 4, 85, 65, 58, 86, 58, 3, 68, 23, 9, 88, 66, 60, 89, 41, 29, 0, 9, 55, 66, 74, 73, 21, 47, 66, 9, 89, 87, 8, 2, 40, 86, 89]
[12, 62, 68, 55, 53, 6, 38, 68, 50, 83, 2, 20, 68, 68, 68, 14, 51, 83, 81, 84, 28, 46, 16, 16, 87, 15, 61, 87, 83, 46, 28, 74, 57, 47, 10, 88, 71, 20, 59, 67, 69, 88, 49, 23, 70, 19, 52, 1, 31, 2, 81, 69, 49, 87, 87, 61, 30, 5, 34, 40, 6, 62, 19, 87, 51, 17, 29, 87, 52, 66, 66, 51, 31, 11, 40, 67, 38, 57, 59, 30, 53, 84, 60, 88, 8, 4, 46, 17, 89]
[0, 29, 37, 49, 66, 30, 10, 79, 34, 34, 64, 40, 89, 17, 80, 83, 62, 29, 63, 5, 20, 74, 27, 30, 60, 39, 59, 8, 37, 15, 4, 28, 41, 47, 17, 51, 11, 61, 17, 74, 87, 17, 43, 37, 80, 35, 74, 3, 70, 44, 79, 41, 6, 2, 43, 70, 18, 64, 43, 82, 70, 37, 26, 63, 69, 37, 33, 60, 15, 42, 13, 28, 33, 11, 37, 10, 5, 40, 65, 27, 50, 85, 87, 74, 61, 3, 68, 5, 34]
[22, 18, 67, 45, 48, 1, 48, 71, 28, 27, 58, 82, 3, 73, 19, 23, 59, 8, 13, 53, 6, 53, 17, 17, 33, 45, 42, 25, 71, 27, 28, 68, 5, 35, 30, 49, 20, 85, 41, 20, 62, 61, 69, 76, 12, 84, 36, 15, 61, 12, 35, 11, 14, 7, 31, 88, 32, 61, 61, 30, 62, 69, 12, 55, 58, 1, 88, 53, 67, 37, 64, 69, 17, 55, 17, 17, 17, 76, 76, 79, 80, 70, 55, 79, 43, 13, 30, 31, 44]
[47, 52, 61, 23, 48, 25, 2, 65, 46, 41, 4, 32, 2, 77, 12, 72, 77, 31, 57, 77, 56, 4, 68, 5, 59, 44, 31, 82, 74, 25, 48, 32, 2, 77, 37, 47, 79, 87, 56, 20, 8, 70, 68, 35, 38, 17, 15, 62, 34, 28, 44, 88, 68, 66, 50, 86, 41, 18, 2, 79, 28, 3, 35, 82, 22, 70, 29, 37, 53, 12, 77, 52, 24, 54, 66, 33, 52, 71, 60, 34, 77, 44, 57, 73, 83, 52, 87, 37, 32]
[21, 18, 58, 59, 74, 24, 50, 55, 37, 67, 81, 58, 43, 24, 83, 59, 31, 59, 50, 13, 10, 20, 71, 52, 81, 67, 8, 28, 40, 26, 34, 86, 15, 20, 84, 15, 62, 83, 86, 45, 8, 18, 81, 71, 17, 12, 57, 52, 89, 30, 63, 6, 0, 20, 29, 55, 14, 10, 32, 67, 31, 89, 47, 30, 38, 13, 37, 83, 85, 69, 40, 69, 10, 0, 11, 79, 63, 58, 39, 9, 20, 9, 80, 8, 48, 28, 71, 34, 20]
[17, 25, 53, 55, 87, 8, 76, 38, 46, 59, 80, 80, 23, 11, 62, 51, 88, 57, 87, 88, 75, 18, 27, 78, 45, 62, 25, 79, 55, 42, 61, 8, 40, 9, 81, 53, 34, 49, 31, 9, 36, 51, 41, 17, 2, 69, 52, 31, 19, 22, 32, 63, 46, 5, 26, 15, 74, 26, 84, 30, 17, 8, 33, 59, 19, 82, 16, 74, 21, 33, 38, 22, 10, 82, 40, 64, 69, 79, 3, 75, 5, 16, 27, 11, 15, 8, 3, 30, 8]
[75, 79, 89, 82, 6, 86, 55, 72, 53, 15, 5, 40, 66, 55, 21, 10, 88, 35, 69, 69, 89, 46, 27, 30, 64, 3, 65, 0, 8, 50, 34, 26, 74, 86, 82, 64, 81, 89, 45, 52, 36, 65, 42, 51, 46, 5, 27, 75, 47, 26, 6, 66, 46, 58, 48, 71, 71, 27, 36, 61, 31, 86, 86, 59, 74, 11, 67, 30, 48, 10, 63, 31, 52, 89, 50, 21, 89, 55, 62, 61, 7, 55, 37, 3, 0, 83, 2, 81, 37]
[34, 36, 20, 9, 72, 31, 45, 58, 46, 38, 51, 67, 60, 38, 21, 64, 55, 72, 49, 13, 40, 70, 22, 31, 11, 2, 25, 43, 52, 62, 86, 3, 53, 60, 47, 17, 4, 82, 86, 46, 89, 72, 80, 58, 34, 22, 37, 79, 26, 40, 13, 78, 34, 46, 67, 66, 34, 43, 67, 35, 89, 14, 84, 52, 30, 59, 65, 23, 45, 34, 66, 56, 36, 14, 64, 17, 81, 58, 66, 31, 30, 79, 40, 56, 19, 19, 80, 0, 82]
